ISO,IPUMSID,POINT_X,POINT_Y
IND,35,92.96817805310,11.22599915960
IND,28,79.56285709920,16.58641653460
IND,12,94.67515237960,28.03873069810
IND,18,92.83044132100,26.35714941020
IND,10,85.58334370090,24.75752947030
IND,4,76.76827808620,30.73383893280
IND,26,73.08090142540,20.19474194050
IND,25,70.85161830000,20.82275533330
IND,7,77.10897953450,28.64651897420
IND,30,74.05739562480,15.35968206600
IND,24,71.59092346320,22.69488437190
IND,6,76.33282351760,29.20004039910
IND,2,77.23308095600,31.92721255880
IND,1,76.61263776590,33.75942968460
IND,29,76.16643556140,14.70518030030
IND,32,76.40574859690,10.45089773960
IND,31,72.93961267120,10.45127359730
IND,23,79.42093171410,22.85386408350
IND,27,76.10822143120,19.44975927690
IND,14,93.88254078440,24.73897498580
IND,17,91.27888217910,25.53693416740
IND,15,92.83821971470,23.30938074440
IND,13,94.47030165480,26.06702015260
IND,21,84.41805895660,20.50542802310
IND,34,78.86498024480,11.88265785030
IND,3,75.40878950830,30.84146482150
IND,8,73.84797344690,26.58342294640
IND,11,88.47271179680,27.57167144810
IND,33,78.40062409130,11.00609141800
IND,16,91.74356474480,23.74678299690
IND,9,80.30579779720,27.53017930680
IND,19,87.97980346750,23.81408166770
