NODEJ,NODEI,PrdMIG
50,18,1089.252423
50,22,1192.813946
50,26,1532.214545
50,30,1413.868839
50,34,810.3329277
50,38,929.5785669
50,42,2742.670402
50,46,2231.45728
50,54,594.3755471
50,58,2830.178351
50,62,1869.469611
50,66,897.6639599
50,70,3540.627055
50,74,2792.954634
50,78,516.0973798
50,82,1625.356769
50,86,1163.919421
50,90,1477.976667
50,94,234.2010423
54,2,2217.48202
54,6,3332.249533
54,10,693.0736751
54,14,1921.05135
54,18,1919.387244
54,22,1516.871668
54,26,208.2848608
54,30,1130.467954
54,34,1354.54108
54,38,657.5219844
54,42,426.422259
54,46,587.9327134
54,50,578.2169428
54,58,285.1541727
54,62,251.8444679
54,66,671.7444032
54,70,617.0637088
54,74,461.8898647
54,78,74.25707699
54,82,1142.405142
54,86,782.933962
54,90,777.1925497
54,94,41.78305578
58,2,862.1276189
58,6,2571.278092
58,10,318.4318564
58,14,1141.124507
58,18,220.5159149
58,22,218.6985027
58,26,817.3584134
58,30,301.4400422
58,34,148.1219173
58,38,164.1012038
58,42,812.0786329
58,46,393.8661012
58,50,1152.906895
58,54,117.4181403
58,62,888.1216917
58,66,158.3748563
58,70,635.8574904
58,74,534.9751894
58,78,282.0568992
58,82,319.6092617
58,86,209.4520839
58,90,265.6873524
58,94,128.0782899
62,2,1169.569894
62,6,3617.800487
62,10,301.8362779
62,14,1248.823012
62,18,264.3073282
62,22,242.5272069
62,26,1230.666498
62,30,381.6228276
62,34,164.4946551
62,38,160.4443675
62,42,1017.140828
62,46,381.0976394
62,50,1079.632806
62,54,144.4262917
62,58,1215.597849
62,66,155.5734835
62,70,575.88912
62,74,553.9947557
62,78,404.7354634
62,82,369.7606263
62,86,218.5420519
62,90,261.3255567
62,94,192.2348678
66,2,1538.88814
66,6,2813.2733
66,10,2094.92959
66,14,2644.124574
66,18,1178.292485
66,22,2013.58966
66,26,251.4546819
66,30,872.2179163
66,34,1652.524973
66,38,2658.080335
66,42,538.2216032
66,46,1420.572738
66,50,1033.965933
66,54,781.951801
66,58,440.1199141
66,62,310.4348156
66,70,1461.677914
66,74,711.6379927
66,78,82.48384976
66,82,1161.241237
66,86,1477.556879
66,90,2191.243008
66,94,39.43927513
70,2,1166.615942
70,6,2697.165233
70,10,1132.839476
70,14,2366.457506
70,18,496.3965786
70,22,639.5064743
70,26,361.0672723
70,30,542.500555
70,34,435.8631002
70,38,586.1315574
70,42,676.2681701
70,46,1343.478528
70,50,1511.593211
70,54,266.2501377
70,58,655.0233019
70,62,425.9837276
70,66,542.3098791
70,74,884.5850359
70,78,119.7691876
70,82,695.8427349
70,86,630.4381917
70,90,903.5534978
70,94,55.14650681
74,2,1138.032743
74,6,2808.691612
74,10,500.1608855
74,14,1965.737969
74,18,368.7562252
74,22,388.2197636
74,26,329.2919621
74,30,479.467895
74,34,262.9747112
74,38,269.2404132
74,42,697.4847101
74,46,625.4618858
74,50,1183.463132
74,54,197.9490071
74,58,547.2242936
74,62,406.9619421
74,66,262.1891819
74,70,863.2685792
74,78,110.0146312
74,82,550.0767658
74,86,369.1626505
74,90,447.6903764
74,94,51.59852407
78,2,280.3114398
78,6,865.3713682
78,10,62.6824931
78,14,257.4879159
78,18,57.97933807
78,22,50.4021987
78,26,662.1814116
78,30,84.71542429
78,34,34.27385054
78,38,33.10229193
78,42,210.0655875
78,46,79.217165
78,50,226.1275845
78,54,32.88655727
78,58,298.0697837
78,62,307.1232923
78,66,31.40399183
78,70,120.8397161
78,74,111.7425426
78,82,78.24762733
78,86,44.85787541
78,90,53.70125074
78,94,397.4272368
82,2,10967.54406
82,6,19097.68831
82,10,3828.841668
82,14,13909.41904
82,18,5652.61069
82,22,5238.860214
82,26,1374.263018
82,30,6153.984421
82,34,3603.680265
82,38,2594.682482
82,42,2973.467373
82,46,3883.538022
82,50,4270.276672
82,54,3033.837105
82,58,2026.079446
82,62,1683.160777
82,66,2651.208639
82,70,4209.135241
82,74,3351.073571
82,78,461.2373394
82,86,4072.73655
82,90,4048.158099
82,94,241.2591444
86,2,1850.740365
86,6,3377.307307
86,10,1567.785609
86,14,3081.570778
86,18,1247.549147
86,22,1807.874469
86,26,279.8261255
86,30,1039.690655
86,34,1248.901863
86,38,1154.170602
86,42,611.2104001
86,46,1317.652697
86,50,1065.537624
86,54,724.452907
86,58,462.6814966
86,62,346.6536214
86,66,1175.327223
86,70,1328.612293
86,74,783.5483042
86,78,92.14190321
86,82,1370.137065
86,90,1722.54491
86,94,45.1608096
90,2,2440.864905
90,6,4680.122535
90,10,3377.514537
90,14,4420.404605
90,18,1550.479929
90,22,2405.394309
90,26,430.5365581
90,30,1319.123791
90,34,1749.67966
90,38,2285.317129
90,42,917.4385897
90,46,2405.048506
90,50,1765.298309
90,54,921.639001
90,58,752.1140392
90,62,531.1919327
90,66,2234.286721
90,70,2440.485261
90,74,1217.851223
90,78,141.3474549
90,82,1777.071578
90,86,2209.786175
90,94,68.54440342
94,2,73.98141812
94,6,218.3172568
94,10,13.64960625
94,14,58.9422432
94,18,14.5012351
94,22,11.86173197
94,26,143.3055962
94,30,21.09821353
94,34,8.123976567
94,38,7.274796967
94,42,47.52326202
94,46,17.23454124
94,50,49.42551164
94,54,8.752887267
94,58,64.03964286
94,62,69.01459506
94,66,7.102580207
94,70,26.32108241
94,74,25.23827686
94,78,184.789736
94,82,18.70881274
94,86,10.23064299
94,90,11.90355294
