ISO,IPUMSID,POINT_X,POINT_Y
ECU,1,-79.14645985870,-3.01380941056
ECU,2,-79.10231809120,-1.59053574269
ECU,3,-79.02443806770,-2.52945569256
ECU,4,-78.04864553490,0.74040487098
ECU,6,-78.71593694610,-1.96847663201
ECU,5,-78.85504481340,-0.86112602015
ECU,7,-79.82623052040,-3.50803633476
ECU,8,-79.21573651140,0.71611742212
ECU,9,-79.88193669400,-2.12158091671
ECU,10,-78.35585822880,0.40588167859
ECU,11,-79.65455130880,-4.08873968535
ECU,12,-79.48693416690,-1.34418467537
ECU,13,-80.13464066090,-0.75216498932
ECU,14,-78.00575055380,-2.56254925427
ECU,22,-76.36977246850,-0.77872248954
ECU,16,-76.87324656700,-1.70752836011
ECU,17,-78.65805494360,-0.09793544475
ECU,21,-76.56287470190,-0.01534093427
ECU,18,-78.50471577420,-1.29086713750
ECU,19,-78.90215593240,-4.16932052061
ECU,15,-77.82003515860,-0.65387640053
ECU,24,-80.57606258080,-2.13152401965
ECU,23,-79.16883634640,-0.32667957544
