ISO,IPUMSID,POINT_X,POINT_Y
KOR,1,129.08144545900,35.20246702580
KOR,2,127.81821554300,36.70060633950
KOR,3,126.84740471500,36.52626144300
KOR,4,128.57992603200,35.78116615970
KOR,5,127.37859450700,36.31868326020
KOR,6,128.28100978100,37.71683077510
KOR,7,126.85512623000,35.13442287110
KOR,8,127.18552326000,37.49070826940
KOR,9,128.74910138300,36.31438102410
KOR,10,128.27773389100,35.29986706620
KOR,11,126.49149938100,37.54265911480
KOR,12,126.55504507800,33.38452090980
KOR,13,127.15520426200,35.69782636800
KOR,14,126.90135589000,34.86772390150
KOR,15,126.99095441100,37.53329786850
KOR,16,129.24149214600,35.53641481650
