ISO,IPUMSID,POINT_X,POINT_Y
VEN,1,-65.93688884960,3.41241095922
VEN,2,-64.40552891570,8.89437322604
VEN,3,-68.78671090880,7.12458816991
VEN,4,-67.10351889680,9.97543473649
VEN,5,-69.85877206140,8.14125648077
VEN,6,-63.48632969720,6.21331336585
VEN,7,-67.95725388040,10.19151000110
VEN,8,-68.32212546940,9.35073044302
VEN,9,-61.32994034580,8.75974752504
VEN,10,-66.96213050290,10.48283420220
VEN,11,-69.78912361800,11.07843588740
VEN,12,-66.50691549620,8.80396838291
VEN,13,-69.76569098710,10.18108198320
VEN,14,-71.25037877480,8.52832544462
VEN,15,-66.35914840790,10.25014237360
VEN,16,-63.01756960720,9.39217789141
VEN,17,-64.04682190190,10.98485263230
VEN,18,-69.24748853230,9.03089324150
VEN,19,-63.37819682830,10.41281734000
VEN,20,-72.02370323950,7.92727744173
VEN,21,-70.51010380860,9.46921781152
VEN,22,-66.90493195290,10.54855434760
VEN,23,-68.70080951260,10.31458898720
VEN,24,-72.08512396200,9.93020326448
