ISO,IPUMSID,POINT_X,POINT_Y
SAU,1,42.99428168320,19.27180845680
SAU,2,41.41501590000,20.10592020320
SAU,3,42.04026626180,29.89600503380
SAU,4,38.74682674200,29.67311172610
SAU,5,39.51715021400,24.88952570990
SAU,6,43.21932935420,25.94616282720
SAU,7,45.55003872710,23.06852776960
SAU,8,50.11747042920,22.91057391600
SAU,9,41.60781467510,27.34901820140
SAU,10,42.60320110190,17.34926820280
SAU,11,41.20822269880,21.62630844120
SAU,12,45.82639063590,18.28398991440
SAU,13,37.29483957050,27.38703773360
