ISO,IPUMSID,POINT_X,POINT_Y
MEX,1,-102.38369934100,21.97758242760
MEX,3,-112.02677402800,25.87709087670
MEX,2,-115.07866159900,30.51953819700
MEX,4,-90.30709771370,18.82885795300
MEX,7,-92.47539209850,16.49085816750
MEX,8,-106.45400126900,28.81823836320
MEX,5,-102.09676732700,27.28552926100
MEX,6,-103.92133727500,19.14104149500
MEX,9,-99.08794199170,19.23831958580
MEX,10,-104.98567687700,24.90167666020
MEX,11,-101.03702800000,20.89807765170
MEX,12,-99.87815074900,17.66564879400
MEX,13,-98.85757470230,20.48369920490
MEX,14,-103.62734826900,20.55774893530
MEX,15,-99.62722215710,19.34071389090
MEX,16,-101.88452180200,19.19943008990
MEX,17,-99.00673723350,18.73249118160
MEX,18,-104.85642257900,21.78154128050
MEX,19,-99.99729444470,25.58009086480
MEX,20,-96.43783459380,16.95563972120
MEX,21,-97.81618328220,19.03753172010
MEX,22,-99.87792801050,20.84094418370
MEX,23,-88.11727119160,19.67129830050
MEX,24,-100.45154526000,22.60589539530
MEX,25,-107.49266323300,24.99255151020
MEX,26,-110.76136559200,29.68339943650
MEX,27,-92.61881080010,17.93219228040
MEX,28,-98.67234050630,24.30216879090
MEX,29,-98.08314078790,19.45185066250
MEX,30,-96.37867840000,19.35365314590
MEX,31,-88.92563223190,20.78030736350
MEX,32,-102.70886060900,23.26659151490
