origin,destination,modularity,rawvolume,expectation
1,3,77.23907836867602,840.1038818359375,762.8648034672615
1,4,-379.88380182516005,498.8842468261719,878.7680486513319
1,5,266.86826618077475,1570.778076171875,1303.9098099911002
1,6,288.44853944555257,1904.8948974609375,1616.446358015385
1,7,-413.2965843043635,641.3484497070312,1054.6450340113947
1,8,172.7221232963518,1234.468994140625,1061.7468708442732
1,9,-1218.039631212554,7813.0078125,9031.047443712554
1,10,426.82867089653655,1724.41943359375,1297.5907626972134
1,11,548.7028663440242,2756.93994140625,2208.237075062226
1,12,-286.8494359584588,1296.635986328125,1583.4854222865838
1,13,-200.36262601384374,1512.2613525390625,1712.6239785529062
1,14,1081.8980235455929,3315.567626953125,2233.669603407532
1,15,243.41523777859948,6569.7490234375,6326.3337856589005
1,16,181.5877691728922,1987.442138671875,1805.8543694989828
1,17,-476.03989685607144,1506.398681640625,1982.4385784966964
1,18,512.6978208090984,1780.3731689453125,1267.675348136214
1,19,388.55220764849014,2354.260498046875,1965.7082903983849
1,20,-407.55139833026783,812.6973266601562,1220.248724990424
1,21,-455.68217118631037,1476.1148681640625,1931.7970393503729
1,22,4.340860583298991,1790.2808837890625,1785.9400232057635
1,23,-244.79770258616543,314.9250793457031,559.7227819318686
1,24,378.9388438469423,1927.9444580078125,1549.0056141608702
1,25,295.6749901951209,1325.081298828125,1029.406308633004
1,26,24.081170735193155,608.74169921875,584.6605284835568
1,27,-364.7079284709391,520.2840576171875,884.9919860881266
1,28,121.593634183743,1622.387939453125,1500.794305269382
1,29,-354.3210333272043,1036.077880859375,1390.3989141865793
1,30,-642.61336438218,1961.0919189453125,2603.7052833274925
1,31,-248.66011727189368,378.79217529296875,627.4522925648624
1,32,523.5231849359029,1589.2049560546875,1065.6817711187846
3,1,-25.86755191259158,811.2533569335938,837.1209088461853
3,4,-214.9946786207318,114.22377014160156,329.21844876233337
3,5,300.8330083954766,789.3250122070312,488.49200381155464
3,6,12.922887950620634,618.50244140625,605.5795534556294
3,7,-252.52724378700015,142.58111572265625,395.1083595096564
3,8,959.4486856724614,1357.2176513671875,397.7689656947262
3,9,-1617.4989755205156,1765.859619140625,3383.3585946611406
3,10,512.6118521931603,998.7365112304688,486.12465903730845
3,11,-210.40134247846743,616.884521484375,827.2858639628424
3,12,-280.07786869468964,313.1533203125,593.2311890071896
3,13,-305.5014443546779,336.1097412109375,641.6111855656154
3,14,147.72488289428998,984.5386962890625,836.8138133947725
3,15,-875.9151350544007,1494.159423828125,2370.0745588825257
3,16,-172.8233158084049,503.7153625488281,676.538678357233
3,17,-399.81805250113814,342.87548828125,742.6935407823881
3,18,231.81894855066122,706.7362060546875,474.9172575040263
3,19,52.8744651144558,789.3002319335938,736.425766819138
3,20,-272.9660186144042,184.18350219726562,457.14952081166984
3,21,-394.27609773166535,329.4452819824219,723.7213797140872
3,22,-271.2087472606238,397.8692932128906,669.0780404735144
3,23,-136.83898854811062,72.85350799560547,209.6924965437161
3,24,-122.54493989404705,457.76885986328125,580.3137997573283
3,25,954.0036004982755,1339.6566162109375,385.6530157126619
3,26,1080.2093020321001,1299.244384765625,219.03508273352477
3,27,-215.8272996838104,115.72286224365234,331.55016192746274
3,28,-115.47364888338814,446.7784423828125,562.2520912662006
3,29,-290.2470081852106,230.64695739746094,520.8939655826715
3,30,-539.4618536559988,435.98077392578125,975.44262758178
3,31,-145.77465420765367,89.29177856445312,235.0664327721068
3,32,71.22678732132817,470.46990966796875,399.2431223466406
3,2,1677.120261966696,1926.7183837890625,249.59812182236658
4,1,-595.8102507069054,810.2100219726562,1406.0202726795617
4,3,-292.8851873097853,187.1365203857422,480.0217076955275
4,5,-262.9205384285535,557.5459594726562,820.4664979012098
4,6,-450.302567432812,566.8230590820312,1017.1256265148432
4,7,1438.5455494767368,2102.165771484375,663.6202220076382
4,8,-317.2597881136777,350.82916259765625,668.088950711334
4,9,-712.0004887916857,4970.65625,5682.656738791686
4,10,-394.5147423210235,421.9755859375,816.4903282585235
4,11,-439.6291719331309,949.8722534179688,1389.5014253510997
4,12,-180.44103470835796,815.9443969726562,996.3854316810142
4,13,-169.60012694037255,908.0438842773438,1077.6440112177163
4,14,-559.4180523150308,846.08642578125,1405.5044780962808
4,15,-311.90055894889747,3668.85400390625,3980.7545628551475
4,16,-403.1763633191922,733.1315307617188,1136.307894080911
4,17,-224.33582429420403,1023.0851440429688,1247.4209683371728
4,18,-392.2248639523302,405.4416198730469,797.6664838253771
4,19,-219.83270100935488,1017.0609741210938,1236.8936751304486
4,20,346.04871746514834,1113.8726806640625,767.8239631989142
4,21,67.47708472603335,1283.0325927734375,1215.5555080474041
4,22,-309.6167386858717,814.1603393554688,1123.7770780413405
4,23,1339.2239969916038,1691.4215087890625,352.19751179745873
4,24,-278.9027650685324,695.7867431640625,974.6895082325949
4,25,-339.90159257846733,307.8375244140625,647.7391169925298
4,26,-211.11095567776408,156.7782745361328,367.8892302138969
4,27,1133.9644045538166,1690.8328857421875,556.868481188371
4,28,-66.71138968119465,877.641845703125,944.3532353843196
4,29,-57.65262213641927,817.2359008789062,874.8885230153255
4,30,688.0274734052357,2326.37158203125,1638.3441086260143
4,31,1343.5352535148597,1738.3505859375,394.8153324226403
4,32,-283.5317270007697,387.033203125,670.5649301257697
4,2,-253.40036801121738,165.82225036621094,419.2226183774283
5,1,439.85387938594613,4686.33642578125,4246.482546395304
5,3,957.9324974860813,2407.700927734375,1449.7684302482937
5,4,-658.902367160965,1011.1316528320312,1670.0340199929963
