ISO,IPUMSID,POINT_X,POINT_Y
CHN,34,117.22623025800,31.82578581120
CHN,11,116.41067149900,40.18491420150
CHN,35,117.99095356300,26.07911430250
CHN,62,100.93387402100,37.82078870420
CHN,44,113.41528258800,23.33544853560
CHN,45,108.78723366300,23.82741107940
CHN,52,106.87409906500,26.81518190460
CHN,46,109.74583093500,19.19553392620
CHN,13,116.13005719600,39.54574155280
CHN,23,127.78236011800,47.84154246530
CHN,41,113.61355295600,33.88259151510
CHN,42,112.26908543800,30.97599380650
CHN,43,111.70844691700,27.60697558250
CHN,32,119.45570107900,32.97338839400
CHN,36,115.72082191200,27.61366260760
CHN,22,126.19400378500,43.66440549520
CHN,21,122.60765472300,41.29891528250
CHN,15,113.91448721600,44.08639628560
CHN,64,106.16486224900,37.27093377900
CHN,63,96.00369367930,35.74928715060
CHN,61,108.87058192600,35.19516887480
CHN,37,118.15091912200,36.35199896490
CHN,31,121.45456054900,31.19660493300
CHN,14,112.29197324000,37.57589687190
CHN,51,103.45807952000,30.53505922220
CHN,12,117.33300172200,39.31040122270
CHN,65,85.20432980190,41.11201624050
CHN,54,88.12886802510,31.69380529590
CHN,53,101.48940243200,24.97600289510
CHN,33,120.08883880100,29.17951243700
